Date,Adj Close,Close,High,Low,Open,Volume
2025-01-02,1603.0186767578125,1835.0,1900.0,1820.0,1900.0,6628000
2025-01-03,1550.6038818359375,1775.0,1840.0,1775.0,1835.0,22048300
2025-01-06,1524.396484375,1745.0,1805.0,1745.0,1775.0,8325600
2025-01-07,1554.9716796875,1780.0,1780.0,1750.0,1750.0,6024700
2025-01-08,1506.9249267578125,1725.0,1780.0,1725.0,1780.0,10493000
2025-01-09,1476.3497314453125,1690.0,1745.0,1690.0,1725.0,6587100
2025-01-10,1489.453369140625,1705.0,1715.0,1685.0,1695.0,6937800
2025-01-13,1502.5570068359375,1720.0,1745.0,1705.0,1710.0,6631600
2025-01-14,1524.396484375,1745.0,1790.0,1720.0,1720.0,13966800
2025-01-15,1515.66064453125,1735.0,1765.0,1735.0,1745.0,7251900
2025-01-16,1559.339599609375,1785.0,1790.0,1745.0,1750.0,12071200
2025-01-17,1563.70751953125,1790.0,1790.0,1765.0,1785.0,3435700
2025-01-20,1528.764404296875,1750.0,1790.0,1750.0,1790.0,5138200
2025-01-21,1511.2928466796875,1730.0,1770.0,1730.0,1760.0,6381600
2025-01-22,1480.717529296875,1695.0,1750.0,1695.0,1730.0,11612400
2025-01-23,1520.0286865234375,1740.0,1740.0,1700.0,1700.0,12035700
2025-01-24,1476.3497314453125,1690.0,1745.0,1690.0,1745.0,7185100
2025-01-30,1441.4063720703125,1650.0,1690.0,1645.0,1690.0,8535800
2025-01-31,1423.934814453125,1630.0,1660.0,1630.0,1650.0,12703300
2025-02-03,1380.255859375,1580.0,1640.0,1580.0,1635.0,12109000
2025-02-04,1367.152099609375,1565.0,1620.0,1560.0,1580.0,9816400
2025-02-05,1367.152099609375,1565.0,1575.0,1550.0,1565.0,7078900
2025-02-06,1319.1053466796875,1510.0,1565.0,1500.0,1565.0,11260100
2025-02-07,1244.85107421875,1425.0,1510.0,1425.0,1510.0,23092400
2025-02-10,1314.7374267578125,1505.0,1545.0,1425.0,1425.0,22972400
2025-02-11,1244.85107421875,1425.0,1530.0,1425.0,1525.0,12501100
2025-02-12,1201.1719970703125,1375.0,1445.0,1370.0,1425.0,47552000
2025-02-13,1236.115234375,1415.0,1420.0,1290.0,1370.0,74244500
2025-02-14,1279.794189453125,1465.0,1500.0,1420.0,1420.0,30530500
2025-02-17,1257.95458984375,1440.0,1500.0,1425.0,1475.0,30852000
2025-02-18,1266.6904296875,1450.0,1460.0,1420.0,1440.0,24087300
2025-02-19,1201.1719970703125,1375.0,1450.0,1375.0,1450.0,36371600
2025-02-20,1179.33251953125,1350.0,1405.0,1330.0,1380.0,29020400
2025-02-21,1126.917724609375,1290.0,1355.0,1290.0,1345.0,37424600
2025-02-24,1105.0782470703125,1265.0,1305.0,1255.0,1295.0,33750800
2025-02-25,1004.6165771484375,1150.0,1255.0,1150.0,1240.0,116532600
2025-02-26,1048.295654296875,1200.0,1225.0,1155.0,1160.0,123211400
2025-02-27,1048.295654296875,1200.0,1265.0,1185.0,1215.0,64065200
2025-02-28,886.683349609375,1015.0,1210.0,1015.0,1200.0,785826000
2025-03-03,982.7771606445312,1125.0,1215.0,985.0,985.0,505933700
2025-03-04,952.2018432617188,1090.0,1160.0,1075.0,1125.0,169188900
2025-03-05,978.4092407226562,1120.0,1185.0,1095.0,1095.0,152284100
2025-03-06,995.8807983398438,1140.0,1165.0,1110.0,1130.0,75420000
2025-03-07,1048.295654296875,1200.0,1240.0,1150.0,1150.0,116830700
2025-03-10,1030.8240966796875,1180.0,1230.0,1175.0,1205.0,73948200
2025-03-11,1039.559814453125,1190.0,1200.0,1145.0,1170.0,35888100
2025-03-12,1004.6165771484375,1150.0,1210.0,1150.0,1200.0,59364000
2025-03-13,1100.71044921875,1260.0,1280.0,1155.0,1160.0,123437300
2025-03-14,1135.653564453125,1300.0,1335.0,1260.0,1270.0,148060700
2025-03-17,1192.4361572265625,1365.0,1375.0,1305.0,1310.0,98617100
2025-03-18,1188.068359375,1360.0,1380.0,1300.0,1365.0,112819800
2025-03-19,1188.068359375,1360.0,1420.0,1335.0,1360.0,84280900
2025-03-20,1140.021484375,1305.0,1370.0,1295.0,1365.0,72533700
2025-03-21,1131.2857666015625,1295.0,1330.0,1255.0,1305.0,76199400
2025-03-24,1091.974609375,1250.0,1290.0,1225.0,1275.0,34134300
2025-03-25,1087.606689453125,1245.0,1275.0,1220.0,1255.0,26275100
2025-03-26,1083.23876953125,1240.0,1275.0,1235.0,1240.0,24278400
2025-03-27,1105.0782470703125,1265.0,1285.0,1225.0,1240.0,24029300
2025-04-08,1030.8240966796875,1180.0,1180.0,1125.0,1150.0,43015400
2025-04-09,1008.9844360351562,1155.0,1220.0,1135.0,1165.0,37069200
2025-04-10,1122.5499267578125,1285.0,1285.0,1195.0,1210.0,43797500
2025-04-11,1144.389404296875,1310.0,1340.0,1255.0,1275.0,27972400
2025-04-14,1188.068359375,1360.0,1420.0,1310.0,1310.0,49982800
2025-04-15,1161.8609619140625,1330.0,1380.0,1325.0,1375.0,30552000
2025-04-16,1153.1251220703125,1320.0,1355.0,1300.0,1335.0,21173800
2025-04-17,1153.1251220703125,1320.0,1345.0,1305.0,1335.0,18038000
2025-04-21,1174.9647216796875,1345.0,1415.0,1310.0,1320.0,43443800
2025-04-22,1209.9078369140625,1385.0,1400.0,1335.0,1350.0,31082500
2025-04-23,1244.85107421875,1425.0,1450.0,1390.0,1410.0,57026800
2025-04-24,1306.001708984375,1495.0,1500.0,1435.0,1450.0,77362800
2025-04-25,1528.764404296875,1750.0,1865.0,1530.0,1530.0,238892100
2025-04-28,1454.5101318359375,1665.0,1795.0,1650.0,1760.0,80356100
2025-04-29,1467.61376953125,1680.0,1700.0,1645.0,1665.0,31457700
2025-04-30,1498.1890869140625,1715.0,1750.0,1665.0,1680.0,50952000
2025-05-02,1533.13232421875,1755.0,1775.0,1700.0,1720.0,44238500
2025-05-05,1550.6038818359375,1775.0,1850.0,1750.0,1755.0,47018900
2025-05-06,1603.0186767578125,1835.0,1835.0,1780.0,1790.0,30049700
2025-05-07,1581.17919921875,1810.0,1860.0,1810.0,1850.0,22389700
2025-05-08,1554.9716796875,1780.0,1810.0,1750.0,1810.0,36530300
2025-05-09,1554.9716796875,1780.0,1815.0,1755.0,1760.0,14223700
2025-05-14,1559.339599609375,1785.0,1820.0,1765.0,1780.0,24584500
2025-05-15,1563.70751953125,1790.0,1825.0,1785.0,1785.0,18453900
2025-05-16,1541.8680419921875,1765.0,1820.0,1755.0,1820.0,21422400
2025-05-19,1541.8680419921875,1765.0,1785.0,1715.0,1770.0,32689200
