text-small,attach-card href,f-m-20,f-m-20 2,d-iblock href,d-iblock,d-iblock href 2,d-iblock 2
"08 Jan 2025
					19:48:28",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/1ed9164228_cd12832bbd.pdf,Laporan Bulanan Registrasi Pemegang Efek [],BMRI,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/25dc4aeee6_eb897186e6.pdf,20250108_BMRI_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31844009_lamp5.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/562513745c_5583f95ebd.pdf,20250108_BMRI_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31844009_lamp2.pdf
"24 Jan 2025
					21:26:16",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/f35e86ae15_4ab0eaeafc.pdf,Konfirmasi Emiten Grup [],BMRI,,,,
"09 Jan 2025
					17:26:36",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/1409dc11b4_c1b02cf2da.pdf,Laporan Bulanan Registrasi Pemegang Efek [],BRIS,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/1c56bfc63c_e9d1756df9.pdf,20250107_BRIS_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31843501_lamp1.pdf,,
"14 Jan 2025
					17:33:20",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/1c2547f4e9_01a8806a51.pdf,Informasi Persetujuan OJK atas Pengangkatan Anggota Dewan Pengawas Syariah Perseroan [],BRIS,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/3519e5ca40_a12eba4889.pdf,20250114_BRIS_Laporan Informasi dan Fakta Material_31845674_lamp1.pdf,,
"24 Jan 2025
					16:49:21",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/d76cfba259_8687be3bf3.pdf,Konfirmasi Emiten Grup [],BRIS,,,,
"08 Jan 2025
					17:15:31",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/718a9cf6c8_2467c0dd3d.pdf,Laporan Bulanan Registrasi Pemegang Efek [],BRPT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/46b4677253_b8a5093d1c.pdf,20250106_BRPT_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31842751_lamp1.pdf,,
"15 Jan 2025
					17:36:51",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/2dbd6e5e11_b88b542032.pdf,Laporan Penggunaan Dana Hasil Penawaran Umum [],BRPT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/8107182a48_bce0807a74.pdf,20250113_BRPT_Laporan Penggunaan Dana Hasil Penawaran Umum_31845266_lamp1.pdf,,
"23 Jan 2025
					17:33:17",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/4a543f75f2_55ae681611.pdf,Laporan Pengalihan Kembali Saham Hasil Buy Back [],BRPT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/5b3ffa99c6_43cfc0d624.pdf,20250123_BRPT_Laporan Pengalihan Saham Hasil Buy Back_31847612_lamp1.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/d1cd420fa8_d07399dbdb.pdf,20250123_BRPT_Laporan Pengalihan Saham Hasil Buy Back_31847612_lamp2.pdf
"24 Jan 2025
					16:38:24",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/33c6858022_f992fa14da.pdf,Konfirmasi Emiten Grup [],BRPT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/08f5cef663_adb9f40a1d.pdf,20250123_BRPT_Konfirmasi Emiten Grup_31847715_lamp1.pdf,,
"08 Jan 2025
					17:34:45",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/f4ed4ee6a0_93d6ec3a1f.pdf,Laporan Bulanan Registrasi Pemegang Efek [],BUKA,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/07025c9dac_4af4f893a8.pdf,20250108_BUKA_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31844113_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/50500455d8_0c2afd9d33.pdf,20250108_BUKA_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31844113_lamp5.pdf
