text-small,attach-card href,f-m-20,f-m-20 2,d-iblock href,d-iblock,d-iblock href 2,d-iblock 2
"14 Agt 2025
					17:11:47",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/5d02ff4fba_595d6acd20.pdf,Pemegang Saham di atas 5% (KSEI) [],Semua Emiten Saham,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/1bb270588f_afd8cd9b35.pdf,20250814_Semua Emiten Saham_Pengumuman Bursa_31932946_lamp1.pdf,,
"15 Agt 2025
					17:12:03",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/698cba7b44_9692f482d5.pdf,Pemegang Saham di atas 5% (KSEI) [],Semua Emiten Saham,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/a9165b44b6_2565b18639.pdf,20250815_Semua Emiten Saham_Pengumuman Bursa_31933310_lamp1.pdf,,
"19 Agt 2025
					15:46:16",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/b09c7a0f21_64c146d1e2.pdf,Pemegang Saham di atas 5% (KSEI) [],Semua Emiten Saham,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/0416676556_b766e1ca09.pdf,20250819_Semua Emiten Saham_Pengumuman Bursa_31933618_lamp1.pdf,,
"20 Agt 2025
					17:52:47",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/cd1cf46c3c_7c1b963956.pdf,Pemegang Saham di atas 5% (KSEI) [],Semua Emiten Saham,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/9a432b7267_91a23fe16c.pdf,20250820_Semua Emiten Saham_Pengumuman Bursa_31933979_lamp1.pdf,,
"21 Agt 2025
					16:34:25",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/92f700338b_715ac0f301.pdf,Pemegang Saham di atas 5% (KSEI) [],Semua Emiten Saham,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/211a786dd2_7e1734e2ae.pdf,20250821_Semua Emiten Saham_Pengumuman Bursa_31934220_lamp1.pdf,,
"22 Agt 2025
					19:49:22",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/318ff8dbf8_1c96c1a4fb.pdf,Pemegang Saham di atas 5% (KSEI) [],Semua Emiten Saham,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/d405ad96c1_22637629c3.pdf,20250822_Semua Emiten Saham_Pengumuman Bursa_31934499_lamp1.pdf,,
"25 Agt 2025
					18:42:00",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/7c3a25a31f_4fb6786c36.pdf,Pemegang Saham di atas 5% (KSEI) [],Semua Emiten Saham,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/1207d0ab6f_fcdb12a493.pdf,20250825_Semua Emiten Saham_Pengumuman Bursa_31934825_lamp1.pdf,,
"26 Agt 2025
					18:48:37",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/9934514abd_a7cfb146c5.pdf,Pemegang Saham di atas 5% (KSEI) [],Semua Emiten Saham,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/b00b90c198_954514c978.pdf,20250826_Semua Emiten Saham_Pengumuman Bursa_31935087_lamp1.pdf,,
"28 Agt 2025
					08:25:47",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/6a873e1e19_bd973ee907.pdf,Pemegang Saham di atas 5% (KSEI) [],Semua Emiten Saham,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/1a6a8139ea_bb059ee118.pdf,20250827_Semua Emiten Saham_Pengumuman Bursa_31935396_lamp1.pdf,,
"29 Agt 2025
					15:33:36",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/1a03a189cc_8a66434b89.pdf,Pemegang Saham di atas 5% (KSEI) [],Semua Emiten Saham,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/f65bdfd5af_3f309e8803.pdf,20250829_Semua Emiten Saham_Pengumuman Bursa_31935927_lamp1.pdf,,
