text-small,attach-card href,f-m-20,f-m-20 2,d-iblock href,d-iblock,d-iblock href 2,d-iblock 2,d-iblock href 3,d-iblock 3,d-iblock href 4,d-iblock 4,d-iblock href 5,d-iblock 5
"01 Okt 2025
					10:51:17",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/f7da44d01f_583ca38a08.pdf,Laporan Hasil Pemeringkatan Pemeringkatan Tahunan [],INKP,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/03ae271499_0f8712bfb2.pdf,20250924_INKP_Laporan Hasil Pemeringkatan_31951942_lamp1.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/cf9ecf6725_372e0571de.pdf,20250924_INKP_Laporan Hasil Pemeringkatan_31951942_lamp2.pdf,,,,,,
"08 Okt 2025
					14:12:08",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/88732996a4_a8fd989cc2.pdf,Laporan Bulanan Registrasi Pemegang Efek [],INKP,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/3ddd3330fc_ff31e0d76c.pdf,20251008_INKP_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965637_lamp1.pdf,,,,,,,,
"10 Okt 2025
					17:08:34",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/4acfd5dc35_074381f78c.pdf,Jatuh Tempo Obligasi / Sukuk Korporasi [],INKP,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/8f5fa60c19_d54487dc91.pdf,20251010_INKP_Pengumuman Jatuh Tempo Obligasi dan Sukuk_31966690_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/b927c6327f_58e6205894.pdf,20251010_INKP_Pengumuman Jatuh Tempo Obligasi dan Sukuk_31966690_lamp1.pdf,,,,,,
"13 Okt 2025
					18:27:23",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/ddfb749bb3_a9421dd35a.pdf,Jatuh Tempo Obligasi / Sukuk Korporasi [],INKP,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/ad0fef9e04_8c0e458ff1.pdf,20251013_INKP_Pengumuman Jatuh Tempo Obligasi dan Sukuk_31967052_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/db3a44bf06_d6f56f7253.pdf,20251013_INKP_Pengumuman Jatuh Tempo Obligasi dan Sukuk_31967052_lamp1.pdf,,,,,,
"14 Okt 2025
					14:07:22",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/b9a7c789bc_406373e02e.pdf,Pelunasan Obligasi danSukuk Mudharabah  [],INKP,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/5d66b2888e_a1097690ec.pdf,20251013_INKP_Laporan Informasi dan Fakta Material_31966927_lamp1.pdf,,,,,,,,
"15 Okt 2025
					09:24:29",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/2838e02072_5c269e6f20.pdf,Pelunasan Obligasi USD [],INKP,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/1f36883f04_df4f6ec420.pdf,20251013_INKP_Laporan Informasi dan Fakta Material_31966928_lamp1.pdf,,,,,,,,
"29 Okt 2025
					14:37:52",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/7694cc0d40_f51ad01bd9.pdf,Informasi Pelunasan Efek [],INKP,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/58632fca51_232880e480.pdf,20251029_INKP_Pembayaran Kupon/Bagi Hasil/Ijarah/Pokok_31980393_lamp1.pdf,,,,,,,,
"29 Okt 2025
					14:46:59",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/135a5b1031_4c9959b328.pdf,Informasi Pelunasan Efek [],INKP,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/3fd1bfd6c1_36a2bf5f6e.pdf,20251029_INKP_Pembayaran Kupon/Bagi Hasil/Ijarah/Pokok_31980331_lamp1.pdf,,,,,,,,
"29 Okt 2025
					14:56:19",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/7058af366d_25a324e877.pdf,Informasi Pelunasan Efek [],INKP,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/e531bc86cc_8a7396befb.pdf,20251029_INKP_Pembayaran Kupon/Bagi Hasil/Ijarah/Pokok_31980373_lamp1.pdf,,,,,,,,
"30 Okt 2025
					15:53:36",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/b46f348cf9_128556eec7.pdf,Rencana Penyampaian Laporan Keuangan Kuartal III 2025 Diaudit [],INKP,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/0d0f00bdce_a62ee9b3b0.pdf,20251030_INKP_Rencana Penyampaian Laporan Keuangan_31980663_lamp1.pdf,,,,,,,,
"31 Okt 2025
					10:15:41",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/a5667cb15b_bb5f0ebe42.pdf,"Konfirmasi Realisasi Nilai Emisi dan Penutupan Penawaran Umum Berkelanjutan Obligasi Berkelanjutan V Indah Kiat Pulp & Paper, Penawaran Umum Berkelanjutan Sukuk Mudharabah Berkelanjutan IV Indah Kiat Pulp & Paper, dan Penawaran Umum Berkelanjutan Obligasi USD Berkelanjutan II Indah Kiat Pulp & Paper. []",INKP,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/a0fd6dc932_ed75c4588a.pdf,20251031_INKP_Laporan Informasi dan Fakta Material_31981061_lamp1.pdf,,,,,,,,
"02 Okt 2025
					23:18:57",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/4f16c35aa2_f1ef12cfb5.pdf,Ringkasan Risalah Rapat Umum Para Pemegang Saham Luar Biasa [],ISAT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/94fc721cf0_04a14f626f.pdf,20251002_ISAT_Ringkasan Risalah/Risalah RUPS_31954066_lamp1.pdf,,,,,,,,
"03 Okt 2025
					18:17:14",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/b4a5ef2d1e_80f429e8ae.pdf,Perubahan Komite Audit [],ISAT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/a6160fd1c6_774ba855a9.pdf,20251003_ISAT_Perubahan Corsec Komite Audit Alamat NPWP Internal Audit_31954391_lamp1.pdf,,,,,,,,
"06 Okt 2025
					20:47:01",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/978f64fb2e_43f62a47d0.pdf,Kesiapan Pembayaran Obligasi Berkelanjutan IV Indosat Tahap I Tahun 2022 Seri A dan Pembayaran Sukuk Ijarah Berkelanjutan IV Indosat Tahap I Tahun 2022 Seri A [],ISAT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/5c165af02b_95e0220aa8.pdf,20251006_ISAT_Laporan Informasi dan Fakta Material_31965047_lamp1.pdf,,,,,,,,
"09 Okt 2025
					19:27:02",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/8ff0cc411a_27d507f8ae.pdf,Laporan Bulanan Registrasi Pemegang Efek [],ISAT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/e5b334b2f1_a70d501526.pdf,20251009_ISAT_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31966084_lamp1.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/e6e6ef0ee2_822046cb2b.pdf,20251009_ISAT_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31966084_lamp2.pdf,,,,,,
"24 Okt 2025
					17:26:48",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/e572b233dd_8fb6575083.pdf,Jatuh Tempo Obligasi / Sukuk Korporasi [],ISAT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/82ceb12478_072a35835c.pdf,20251024_ISAT_Pengumuman Jatuh Tempo Obligasi dan Sukuk_31979548_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/ef19f2891d_aaaaba6341.pdf,20251024_ISAT_Pengumuman Jatuh Tempo Obligasi dan Sukuk_31979548_lamp1.pdf,,,,,,
"29 Okt 2025
					12:14:01",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220161226-57879-0/FinancialStatement-2025-III-ISAT.pdf,Penyampaian Laporan Keuangan Interim Yang Ditelaah Secara Terbatas [],ISAT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220161226-57879-0/FinancialStatement-2025-III-ISAT.xlsx,FinancialStatement-2025-III-ISAT.xlsx,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220161226-57879-0/FS%20ISAT%2030%20September%202025.pdf,FS ISAT 30 September 2025.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220161226-57879-0/Info%20Memo%209M25%20Eng%20Final%20version.pdf,Info Memo 9M25 Eng Final version.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220161226-57879-0/Info%20Memo%209M25%20Ind%20Final%20version.pdf,Info Memo 9M25 Ind Final version.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220161226-57879-0/inlineXBRL.zip,inlineXBRL.zip
"01 Okt 2025
					17:14:45",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/f1902f8511_ce73d0dc8c.pdf,Konfirmasi Emiten Grup [],ITMG,,,,,,,,,,
"03 Okt 2025
					10:52:31",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/b13a8594f8_3bb90249c8.pdf,Pemanggilan Rapat Umum Pemegang Saham Luar Biasa [],ITMG,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/7ba20c519d_830c0b2e52.pdf,20251003_ITMG_Pemanggilan RUPS_31954147_lamp1.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/7e1f4a5a32_912df58818.pdf,20251003_ITMG_Pemanggilan RUPS_31954147_lamp2.pdf,,,,,,
"06 Okt 2025
					15:18:32",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/805cf34839_9d3c2a4af3.pdf,Laporan Bulanan Registrasi Pemegang Efek [],ITMG,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/0af4a4c15f_c6a7bdc577.pdf,20251005_ITMG_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31964439_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/adeae4f705_eeedd44f5d.pdf,20251005_ITMG_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31964439_lamp1.pdf,,,,,,
"10 Okt 2025
					09:10:40",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/297e8f3489_d124c6caf8.pdf,Laporan Bulanan Aktivitas Eksplorasi [],ITMG,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/306544ef3f_d46f712f8b.pdf,20251010_ITMG_Laporan Bulanan Aktivitas Eksplorasi_31966515_lamp1.pdf,,,,,,,,
"14 Okt 2025
					18:36:17",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/023abe381f_0f43830fc7.pdf,Penjelasan atas Pemberitaan Media Massa [],ITMG,,,,,,,,,,
"16 Okt 2025
					15:37:56",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/284f02e0d9_b4aa2ae663.pdf,Laporan Bulanan Registrasi Pemegang Efek (KOREKSI) [],ITMG,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/13b369f421_e217431c73.pdf,20251016_ITMG_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31967908_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/c876afc18e_5db71804e9.pdf,20251016_ITMG_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31967908_lamp1.pdf,,,,,,
"29 Okt 2025
					15:13:50",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/e5132938a6_d5fa09763d.pdf,Rencana Penyampaian Laporan Keuangan Kuartal III 2025 Ditelaah secara terbatas [],ITMG,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/b457eae5ca_8c5bb4d451.pdf,20251028_ITMG_Rencana Penyampaian Laporan Keuangan_31980128_lamp1.pdf,,,,,,,,
"08 Okt 2025
					16:30:00",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/1a7bfa77b6_f51955ca4a.pdf,Laporan Bulanan Registrasi Pemegang Efek [],JPFA,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/9f959d1cfa_0e8548f58c.pdf,20251008_JPFA_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965891_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/f79533896b_d5935e04df.pdf,20251008_JPFA_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965891_lamp1.pdf,,,,,,
"21 Okt 2025
					16:40:09",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/fd70fc74fb_e81ad32195.pdf,Penyampaian Materi pada Acara Indonesia Day 2025 [],JPFA,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/6ba261d290_6e9871dfaf.pdf,20251021_JPFA_Laporan Informasi dan Fakta Material_31978789_lamp1.pdf,,,,,,,,
"31 Okt 2025
					16:32:37",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220144322-57717-0/FinancialStatement-2025-III-JPFA.pdf,Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],JPFA,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220144322-57717-0/FinancialStatement-2025-III-JPFA.xlsx,FinancialStatement-2025-III-JPFA.xlsx,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220144322-57717-0/inlineXBRL.zip,inlineXBRL.zip,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220144322-57717-0/instance.zip,instance.zip,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220144322-57717-0/PT%20Japfa%20Tbk%20CFS%20as%20of%2030%20September%202025-Unaudited.pdf,PT Japfa Tbk CFS as of 30 September 2025-Unaudited.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220144322-57717-0/SPD%2030%20Sept%202025.pdf,SPD 30 Sept 2025.pdf
"07 Okt 2025
					15:46:44",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/5fede9183e_02365fdacb.pdf,Laporan Bulanan Registrasi Pemegang Efek [],JSMR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/30c3b28cf2_9c4cca795e.pdf,20251007_JSMR_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965409_lamp4.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/55e9c09856_457a3b7ccd.pdf,20251007_JSMR_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965409_lamp1.pdf,,,,,,
"30 Okt 2025
					08:42:48",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220154218-58169-0/FinancialStatement-2025-III-JSMR.pdf,Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],JSMR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220154218-58169-0/AB.KU.14.16.302.pdf,AB.KU.14.16.302.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220154218-58169-0/FinancialStatement-2025-III-JSMR.xlsx,FinancialStatement-2025-III-JSMR.xlsx,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220154218-58169-0/inlineXBRL.zip,inlineXBRL.zip,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220154218-58169-0/instance.zip,instance.zip,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220154218-58169-0/PT%20Jasa%20Marga%20(Persero)%20Tbk_30%20September%202025.pdf,PT Jasa Marga (Persero) Tbk_30 September 2025.pdf
"02 Okt 2025
					16:12:44",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/4e48bf0011_6372801bc2.pdf,Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka [],KLBF,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/b0c1e1a5b3_26a43b60a7.pdf,20251002_KLBF_Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka_31953793_lamp1.pdf,,,,,,,,
"08 Okt 2025
					16:34:01",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/eebbe62cf1_76b4672733.pdf,Laporan Bulanan Registrasi Pemegang Efek [],KLBF,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/f90d45aabe_1f8703c092.pdf,20251006_KLBF_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31964883_lamp1.pdf,,,,,,,,
"27 Okt 2025
					15:01:09",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/20251027151239-58130-0/FinancialStatement-2025-III-KLBF.pdf,Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],KLBF,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/20251027151239-58130-0/FinancialStatement-2025-III-KLBF.xlsx,FinancialStatement-2025-III-KLBF.xlsx,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/20251027151239-58130-0/inlineXBRL.zip,inlineXBRL.zip,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/20251027151239-58130-0/instance.zip,instance.zip,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/20251027151239-58130-0/kalbe%20farma%20tbk_billingual_30_sept_2025_released.pdf,kalbe farma tbk_billingual_30_sept_2025_released.pdf,,
"28 Okt 2025
					10:04:43",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/20251028101727-58444-0/FinancialStatement-2025-III-KLBF.pdf,Penyampaian Laporan Keuangan Interim (KOREKSI) [],KLBF,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/20251028101727-58444-0/FinancialStatement-2025-III-KLBF.xlsx,FinancialStatement-2025-III-KLBF.xlsx,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/20251028101727-58444-0/inlineXBRL.zip,inlineXBRL.zip,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/20251028101727-58444-0/instance.zip,instance.zip,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/20251028101727-58444-0/kalbe%20farma%20tbk_billingual_30_sept_2025_released.pdf,kalbe farma tbk_billingual_30_sept_2025_released.pdf,,
"09 Okt 2025
					11:57:20",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/7f8ac0d7a2_3b7e3ebd93.pdf,Laporan Bulanan Registrasi Pemegang Efek [],MAPA,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/3fcb28d699_97d42ad9c1.pdf,20251007_MAPA_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965226_lamp3.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/6a238cb22d_6de3fc9efb.pdf,20251007_MAPA_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965226_lamp1.pdf,,,,,,
"31 Okt 2025
					17:15:03",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220174316-58220-0/FinancialStatement-2025-III-MAPA.pdf,Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],MAPA,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220174316-58220-0/FinancialStatement-2025-III-MAPA.xlsx,FinancialStatement-2025-III-MAPA.xlsx,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220174316-58220-0/inlineXBRL.zip,inlineXBRL.zip,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220174316-58220-0/instance.zip,instance.zip,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220174316-58220-0/Report%20FS%20MAPA%200925.pdf,Report FS MAPA 0925.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220174316-58220-0/SPD%20MAPA%200925.pdf,SPD MAPA 0925.pdf
"31 Okt 2025
					17:40:15",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/c0f1d109b4_10a1bbde97.pdf,Siaran Pers - Laporan Keuangan (Tidak diaudit) PT Map Aktif Adiperkasa Tbk [],MAPA,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/b0533f6b4b_16db5f265f.pdf,20251031_MAPA_Laporan Informasi dan Fakta Material_31981106_lamp1.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/f92fc36d75_8321716e05.pdf,20251031_MAPA_Laporan Informasi dan Fakta Material_31981106_lamp2.pdf,,,,,,
"09 Okt 2025
					12:02:00",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/194df88366_23a20d3ac4.pdf,Laporan Bulanan Registrasi Pemegang Efek [],MAPI,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/24a88d32fc_2542a0d3a2.pdf,20251007_MAPI_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965232_lamp1.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/2b21cf1e4d_acc8c60343.pdf,20251007_MAPI_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965232_lamp3.pdf,,,,,,
"31 Okt 2025
					17:01:09",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/20251031172201-58490-0/FinancialStatement-2025-III-MAPI.pdf,Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],MAPI,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/20251031172201-58490-0/FinancialStatement-2025-III-MAPI.xlsx,FinancialStatement-2025-III-MAPI.xlsx,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/20251031172201-58490-0/inlineXBRL.zip,inlineXBRL.zip,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/20251031172201-58490-0/instance.zip,instance.zip,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/20251031172201-58490-0/Laporan%20keuangan%20MAP%2030%20Sep%202025.pdf,Laporan keuangan MAP 30 Sep 2025.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/20251031172201-58490-0/SPD%20MAPI%20Sep25.pdf,SPD MAPI Sep25.pdf
