text-small,attach-card href,f-m-20,f-m-20 2,d-iblock href,d-iblock,d-iblock href 2,d-iblock 2,d-iblock href 3,d-iblock 3,d-iblock href 4,d-iblock 4,d-iblock href 5,d-iblock 5
"09 Okt 2025
					16:04:54",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/67e5cacefa_163060752b.pdf,Laporan Bulanan Registrasi Pemegang Efek [],EXCL,,,,,,,,,,
"15 Okt 2025
					14:51:28",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/51dc168f19_1926cbdc4d.pdf,Pemberitahuan Rencana Rapat Umum Pemegang Saham Luar Biasa [],EXCL,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/92808da4dc_e03a9e6cd2.pdf,20251015_EXCL_Pengumuman RUPS_31967641_lamp1.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/b4d9917720_83dcca6e65.pdf,20251015_EXCL_Pengumuman RUPS_31967641_lamp2.pdf,,,,,,
"15 Okt 2025
					18:24:54",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/eae46f99a2_d59a764925.pdf,Jatuh Tempo Obligasi / Sukuk Korporasi [],EXCL,,,,,,,,,,
"15 Okt 2025
					22:07:46",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/98955e47e8_f21b633063.pdf,Informasi Kupon [],EXCL,,,,,,,,,,
"15 Okt 2025
					22:13:40",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/be99e60bb8_1397776cb4.pdf,Informasi Ijarah Fee [],EXCL,,,,,,,,,,
"16 Okt 2025
					17:06:46",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/cd1f711a17_6d5f3583ab.pdf,Pelunasan Pokok dan Bunga Obligasi dan Sukuk Ijarah Berkelanjutan [],EXCL,,,,,,,,,,
"28 Okt 2025
					11:41:37",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/101d37dc11_b28a08bca1.pdf,Informasi Ijarah Fee [],EXCL,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/d941a0bb82_be1a06fde9.pdf,20251027_EXCL_Pembayaran Kupon/Bagi Hasil/Ijarah/Pokok_31979898_lamp1.pdf,,,,,,,,
"30 Okt 2025
					16:15:36",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/a6e49d3dcf_5f71f1a8e6.pdf,Laporan Pengalihan Kembali Saham Hasil Buy Back [],EXCL,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/d8d63cca25_1009b8f033.pdf,20251030_EXCL_Laporan Pengalihan Saham Hasil Buy Back_31980811_lamp1.pdf,,,,,,,,
"30 Okt 2025
					17:01:00",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/b811c332ce_0e9abe743c.pdf,Pemanggilan Rapat Umum Pemegang Saham Luar Biasa [],EXCL,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/791f07c3f8_cbf7a5feaa.pdf,20251030_EXCL_Pemanggilan RUPS_31980743_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/a586014a34_84672fe7a3.pdf,20251030_EXCL_Pemanggilan RUPS_31980743_lamp1.pdf,,,,,,
"08 Okt 2025
					16:24:59",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/22d5608e48_7bce343509.pdf,Laporan Bulanan Registrasi Pemegang Efek [],GOTO,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/2e4f309d1d_ba2840b830.pdf,20251008_GOTO_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965803_lamp1.pdf,,,,,,,,
"29 Okt 2025
					16:24:45",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220165556-58393-0/FinancialStatement-2025-III-GOTO.pdf,Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],GOTO,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220165556-58393-0/FinancialStatement-2025-III-GOTO.xlsx,FinancialStatement-2025-III-GOTO.xlsx,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220165556-58393-0/inlineXBRL.zip,inlineXBRL.zip,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220165556-58393-0/instance.zip,instance.zip,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220165556-58393-0/LKFS%20-%2030%20September%202025.pdf,LKFS - 30 September 2025.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220165556-58393-0/Surat%20Pengantar_LK%20Q3%202025.pdf,Surat Pengantar_LK Q3 2025.pdf
"29 Okt 2025
					17:01:14",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/1d20c8d1e4_b3a1ef4a29.pdf,Penyampaian Laporan Keuangan [],GOTO,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/3d5b935492_8ae6043195.pdf,20251029_GOTO_Laporan Informasi dan Fakta Material_31980550_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/bf8f372753_26a1794589.pdf,20251029_GOTO_Laporan Informasi dan Fakta Material_31980550_lamp1.pdf,,,,,,
"29 Okt 2025
					20:33:39",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/82c7e68e60_83acdcdee2.pdf,Siaran Pers_Grup GoTo Mencatatkan Laba Sebelum Pajak Yang Disesuaikan Kuartalan Pertama dan Menaikkan Pedoman Kinerja Tahunan dalam Laporan Kinerja Kuartal Ketiga 2025 [],GOTO,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/e3a9dacfd6_0f934e768e.pdf,20251029_GOTO_Laporan Informasi dan Fakta Material_31980606_lamp1.pdf,,,,,,,,
"10 Okt 2025
					16:30:04",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/814eaa1bb9_0097ac9a34.pdf,Laporan Bulanan Registrasi Pemegang Efek [],ICBP,,,,,,,,,,
"31 Okt 2025
					16:29:22",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220150551-57757-0/FinancialStatement-2025-III-ICBP.pdf,Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],ICBP,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220150551-57757-0/FinancialStatement-2025-III-ICBP.xlsx,FinancialStatement-2025-III-ICBP.xlsx,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220150551-57757-0/Icbp_billingual_30_Sep_25.pdf,Icbp_billingual_30_Sep_25.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220150551-57757-0/ICBP_KI_Surat%20pengantar%20XBRL%209M25_251014.pdf,ICBP_KI_Surat pengantar XBRL 9M25_251014.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220150551-57757-0/inlineXBRL.zip,inlineXBRL.zip,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220150551-57757-0/instance.zip,instance.zip
"31 Okt 2025
					16:31:40",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/771469cda7_ebe7ad673a.pdf,Penyampaian Siaran Pers Kinerja Keuangan PT Indofood CBP Sukses Makmur Tbk untuk Periode yang Berakhir pada Tanggal 30 September 2025 [],ICBP,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/12d359dbac_cd481bd732.pdf,20251022_ICBP_Laporan Informasi dan Fakta Material_31978929_lamp1.pdf,,,,,,,,
"06 Okt 2025
					11:16:34",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/899b6f0e92_84e24cc1fb.pdf,Laporan Bulanan Registrasi Pemegang Efek [],INCO,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/a9f0df32f6_efaf01b6ea.pdf,20251006_INCO_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31964632_lamp1.pdf,,,,,,,,
"08 Okt 2025
					17:07:45",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/2e8b560c52_96d6138caa.pdf,Saham Hilang [],INCO,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/5d3066aac6_9491f0a4b8.pdf,20251008_INCO_Pengumuman Bursa_31965813_lamp1.pdf,,,,,,,,
"10 Okt 2025
					08:04:47",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/697e54f78a_9395bc87f6.pdf,Laporan Bulanan Aktivitas Eksplorasi [],INCO,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/2fcad85126_e6ac32954d.pdf,20251010_INCO_Laporan Bulanan Aktivitas Eksplorasi_31966496_lamp1.pdf,,,,,,,,
