text-small,attach-card href,f-m-20,f-m-20 2,d-iblock href,d-iblock,d-iblock href 2,d-iblock 2
"17 Sep 2025
					19:57:54",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/18c09a85e8_efade2ff1f.pdf,PENGUMUMAN RINGKASAN RISALAH RAPAT UMUM PEMEGANG SAHAM LUAR BIASA TAHUN 2025 PT TELKOM INDONESIA (PERSERO) Tbk [],TLKM,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/8bfdf9e4d3_a737fb69ad.pdf,20250917_TLKM_Laporan Informasi dan Fakta Material_31950741_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/dc7981adec_e7887f899f.pdf,20250917_TLKM_Laporan Informasi dan Fakta Material_31950741_lamp1.pdf
"18 Sep 2025
					14:45:58",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/9ddaacaa1b_1d90c1f9e8.pdf,Ringkasan Risalah Rapat Umum Para Pemegang Saham Luar Biasa [],TLKM,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/259b99d6e2_7d1dbe581a.pdf,20250918_TLKM_Ringkasan Risalah/Risalah RUPS_31950890_lamp1.pdf,,
"18 Sep 2025
					15:07:46",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/6c01d476e6_4d4f6cbdb7.pdf,Perubahan Pengurus [],TLKM,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/d2a5ab0fde_2c709b966e.pdf,20250918_TLKM_Perubahan Pengurus_31950894_lamp1.pdf,,
"25 Sep 2025
					18:49:06",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/45676ddb36_720939b974.pdf,Perubahan Komite Audit [],TLKM,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/7569ca7ddd_18ee465705.pdf,20250925_TLKM_Perubahan Corsec Komite Audit Alamat NPWP Internal Audit_31952509_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/7ec8748ad6_0759ffbcdd.pdf,20250925_TLKM_Perubahan Corsec Komite Audit Alamat NPWP Internal Audit_31952509_lamp1.pdf
"02 Sep 2025
					14:03:36",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/ca223026c6_d524407824.pdf,Penandatangan Perjanjian Kredit antara Protelindo dan Iforte dengan PT Bank CIMB Niaga Tbk [],TOWR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/a7898ffa06_7b9bfeb9b0.pdf,20250902_TOWR_Laporan Informasi dan Fakta Material_31936636_lamp1.pdf,,
"02 Sep 2025
					20:26:59",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/c5363b9f82_8d5faead47.pdf,Penyampaian Materi Public Expose - Tahunan [],TOWR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/22d8dd5eb7_25027b6b6f.pdf,20250902_TOWR_Public Expose_31936834_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/e0ae821415_6ea2d91ccc.pdf,20250902_TOWR_Public Expose_31936834_lamp1.pdf
"04 Sep 2025
					15:35:28",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/2ffeac1ac3_34375a16c4.pdf,Keterbukaan Informasi Pembelian Kembali Saham dalam Kondisi Pasar yang Berfluktuasi secara Signifikan [],TOWR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/0c9daabf47_e313b8cbb1.pdf,20250904_TOWR_Laporan Informasi dan Fakta Material_31937645_lamp3.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/415e46f71e_fddb12dd4f.pdf,20250904_TOWR_Laporan Informasi dan Fakta Material_31937645_lamp2.pdf
"07 Sep 2025
					12:31:29",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/0440eac291_d50afc7a66.pdf,Laporan Bulanan Registrasi Pemegang Efek [],TOWR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/34aa943aa9_66c708e413.pdf,20250907_TOWR_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31937879_lamp1.pdf,,
"11 Sep 2025
					15:40:53",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/a967e7334d_ff082b971f.pdf,Penandatangan Perjanjian Kredit antara Protelindo dan Iforte dengan PT Bank China Construction Bank Indonesia Tbk [],TOWR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/822927f6ad_61003e7938.pdf,20250911_TOWR_Laporan Informasi dan Fakta Material_31939445_lamp1.pdf,,
"11 Sep 2025
					16:39:14",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/f15dd0a107_b46aa7c38c.pdf,Laporan Hasil Public Expose - Tahunan [],TOWR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202509/8750911d6c_6742ebcf44.pdf,20250911_TOWR_Public Expose_31939480_lamp1.pdf,,
